age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
63,Federal-gov,Doctorate,10,Divorced,Exec-managerial,Not-in-family,White,Female,6319,2184,38,United-States,>50K
53,Private,HS-grad,8,Never-married,Sales,Not-in-family,White,Male,4032,3103,33,United-States,>50K
51,Private,Prof-school,9,Never-married,Prof-specialty,Not-in-family,White,Female,5976,3293,38,United-States,>50K
37,Self-emp-not-inc,Doctorate,7,Never-married,Prof-specialty,Not-in-family,White,Female,4081,3556,48,United-States,>50K
54,Private,Masters,12,Divorced,Prof-specialty,Not-in-family,White,Female,5116,966,32,United-States,>50K
44,Private,Bachelors,8,Divorced,Exec-managerial,Unmarried,White,Male,6160,3453,38,United-States,>50K
43,Private,Masters,9,Divorced,Exec-managerial,Unmarried,White,Female,6768,3156,36,United-States,>50K
51,Private,Some-college,11,Divorced,Adm-clerical,Unmarried,White,Female,6350,3843,49,United-States,>50K
43,Private,Masters,8,Divorced,Prof-specialty,Unmarried,White,Female,4269,3103,44,United-States,>50K
71,?,HS-grad,10,Married-civ-spouse,?,Husband,White,Male,6378,3197,44,United-States,<=50K
48,Private,Bachelors,5,Married-spouse-absent,Sales,Unmarried,White,Female,5354,1143,48,United-States,>50K
71,Private,HS-grad,6,Married-civ-spouse,Sales,Husband,White,Male,5722,1589,47,United-States,<=50K
73,Self-emp-not-inc,HS-grad,10,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,6184,2526,35,Vietnam,<=50K
68,?,Some-college,6,Married-civ-spouse,?,Wife,White,Female,4608,3299,45,United-States,<=50K
67,?,Some-college,8,Married-civ-spouse,?,Husband,White,Male,4687,1335,47,United-States,<=50K
40,Self-emp-not-inc,Prof-school,8,Never-married,Prof-specialty,Not-in-family,White,Male,6843,2726,49,United-States,>50K
50,Private,HS-grad,8,Widowed,Sales,Not-in-family,White,Female,5734,2060,48,United-States,>50K
51,State-gov,Assoc-voc,6,Divorced,Tech-support,Not-in-family,White,Male,5652,2935,44,United-States,>50K
42,Private,Some-college,8,Never-married,Exec-managerial,Not-in-family,White,Female,5700,2362,42,United-States,>50K
39,Private,Masters,5,Never-married,Sales,Not-in-family,White,Male,4649,3186,36,United-States,>50K
32,Private,Bachelors,9,Never-married,Exec-managerial,Other-relative,White,Male,4173,3112,32,United-States,>50K
53,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,5911,1261,46,United-States,>50K
40,Local-gov,Some-college,8,Never-married,Protective-serv,Not-in-family,White,Male,6076,3588,49,United-States,>50K
38,Private,Bachelors,12,Never-married,Sales,Not-in-family,White,Female,6201,3735,47,United-States,>50K
33,Private,Assoc-voc,12,Separated,Craft-repair,Not-in-family,White,Male,4275,1739,37,United-States,>50K
43,Private,Assoc-acdm,10,Divorced,Craft-repair,Not-in-family,White,Male,6010,3827,36,United-States,>50K
50,Self-emp-inc,11th,12,Never-married,Exec-managerial,Other-relative,White,Male,6169,2064,32,United-States,>50K
44,Private,Some-college,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,5254,2051,43,United-States,>50K
51,Self-emp-not-inc,Bachelors,5,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,4959,1446,47,China,>50K
41,Private,Prof-school,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,6804,3368,34,United-States,>50K
60,Self-emp-inc,Assoc-voc,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4078,1865,43,?,>50K
37,Private,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,4761,2200,46,United-States,>50K
55,Self-emp-inc,Prof-school,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,6059,1461,34,Greece,>50K
39,Self-emp-inc,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,6234,1137,50,United-States,>50K
42,Self-emp-inc,Prof-school,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,5096,1226,37,United-States,>50K
49,Private,Bachelors,6,Married-civ-spouse,Sales,Husband,White,Male,4645,3145,30,United-States,>50K
47,Self-emp-not-inc,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,4368,3367,30,United-States,>50K
41,Local-gov,Prof-school,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,5241,1547,39,United-States,>50K
55,Self-emp-inc,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5937,1689,38,United-States,>50K
39,Private,Masters,5,Married-civ-spouse,Exec-managerial,Wife,White,Female,4070,3600,48,United-States,>50K
42,Private,Bachelors,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,4113,3224,47,United-States,>50K
41,?,Assoc-voc,8,Married-civ-spouse,?,Husband,White,Male,5021,3470,37,United-States,>50K
46,Private,Masters,6,Married-civ-spouse,Sales,Husband,White,Male,6628,2714,35,United-States,>50K
40,Private,Masters,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,6025,2884,43,United-States,>50K
32,Private,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,6894,1904,44,United-States,>50K
41,Self-emp-inc,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3981,2039,36,United-States,>50K
60,Self-emp-inc,Prof-school,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6722,3200,39,United-States,>50K
31,Private,Masters,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,4772,1852,49,Taiwan,>50K
58,Self-emp-not-inc,Some-college,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,5116,1788,40,United-States,>50K
37,Self-emp-inc,Bachelors,6,Married-civ-spouse,Sales,Husband,White,Male,4611,3670,49,United-States,>50K
44,Self-emp-not-inc,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5837,3031,47,United-States,>50K
39,Self-emp-not-inc,Prof-school,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4779,3650,30,?,>50K
43,Federal-gov,Prof-school,6,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,6321,1417,36,?,>50K
55,Self-emp-inc,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,6604,1919,31,United-States,>50K
44,Self-emp-inc,Masters,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4044,1778,33,United-States,>50K
39,Private,Prof-school,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,6215,2583,41,India,>50K
46,Self-emp-not-inc,Bachelors,6,Married-civ-spouse,Sales,Husband,White,Male,5488,2686,39,United-States,>50K
39,Private,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,5294,2623,33,United-States,>50K
62,Self-emp-inc,Bachelors,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,6437,1539,36,United-States,>50K
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,6410,1460,50,United-States,>50K
46,Private,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,6516,2719,38,Philippines,>50K
46,Self-emp-not-inc,Prof-school,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4981,3552,34,United-States,>50K
39,Self-emp-inc,Assoc-voc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6333,1897,46,United-States,>50K
39,Private,Prof-school,9,Married-civ-spouse,Sales,Husband,White,Male,6276,2061,47,United-States,>50K
59,Private,Doctorate,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,6171,3822,30,United-States,>50K
50,Self-emp-inc,Prof-school,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,5347,2144,36,United-States,>50K
46,Private,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,5878,1654,49,United-States,>50K
53,Self-emp-not-inc,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,5973,3583,49,United-States,>50K
50,Self-emp-not-inc,Prof-school,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,6510,2734,36,United-States,>50K
41,Self-emp-inc,Prof-school,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,5356,1214,39,United-States,>50K
36,Private,Bachelors,8,Married-civ-spouse,Sales,Husband,White,Male,6404,1702,45,United-States,>50K
38,Private,Prof-school,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,5976,983,50,United-States,>50K
54,Private,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,4096,2740,35,United-States,>50K
50,Private,Bachelors,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,5569,2129,42,United-States,>50K
47,Private,Bachelors,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,6407,2322,32,United-States,>50K
47,Self-emp-inc,Prof-school,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4080,2000,38,United-States,>50K
67,Private,Bachelors,11,Widowed,Exec-managerial,Not-in-family,White,Male,4957,2297,35,United-States,>50K
67,Self-emp-inc,Bachelors,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,4129,1725,38,United-States,>50K
72,Self-emp-not-inc,Doctorate,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,6111,3304,44,United-States,>50K
72,?,Doctorate,11,Married-civ-spouse,?,Husband,White,Male,5666,1427,50,United-States,>50K
46,Self-emp-inc,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,5240,1306,48,United-States,>50K
68,Self-emp-inc,Bachelors,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,4118,2586,34,United-States,>50K
71,Self-emp-inc,Bachelors,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,4799,1670,32,United-States,>50K
68,Self-emp-inc,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3952,2884,47,United-States,>50K
68,Private,Masters,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,5494,2065,41,United-States,>50K
26,Private,Assoc-voc,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,6791,2182,35,United-States,<=50K
68,State-gov,Doctorate,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4558,3206,42,United-States,>50K
49,Self-emp-inc,HS-grad,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,4292,2200,50,United-States,>50K
36,Private,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6882,3830,44,United-States,<=50K
70,Self-emp-not-inc,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5755,2128,31,United-States,>50K
27,Private,Some-college,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,6664,2823,49,United-States,<=50K
35,Local-gov,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5114,1749,49,United-States,<=50K
23,Private,HS-grad,6,Married-civ-spouse,Sales,Husband,White,Male,6117,3021,36,United-States,<=50K
68,Private,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,5060,1766,31,United-States,>50K
66,Self-emp-not-inc,Doctorate,7,Married-civ-spouse,Sales,Husband,White,Male,4677,1262,43,United-States,>50K
71,Private,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,6221,2773,42,United-States,>50K
68,Private,Some-college,6,Married-civ-spouse,Sales,Husband,White,Male,5195,2851,33,United-States,>50K
68,State-gov,Masters,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4510,2912,41,?,>50K
65,?,Bachelors,8,Married-civ-spouse,?,Husband,White,Male,6127,2650,47,United-States,>50K
52,Private,HS-grad,12,Married-civ-spouse,Sales,Husband,Black,Male,6580,2648,50,United-States,<=50K
40,Self-emp-inc,Assoc-acdm,5,Married-civ-spouse,Craft-repair,Husband,White,Male,5696,2054,36,United-States,<=50K
68,?,Bachelors,9,Married-civ-spouse,?,Husband,White,Male,5453,1373,37,United-States,>50K
21,Private,Some-college,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,4706,1969,32,United-States,<=50K
35,Private,HS-grad,6,Married-civ-spouse,Craft-repair,Husband,White,Male,5197,1227,42,United-States,<=50K
70,Self-emp-inc,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5270,3730,31,United-States,>50K
61,Self-emp-not-inc,HS-grad,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,4850,3384,37,United-States,<=50K
65,Self-emp-inc,HS-grad,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,6508,3354,46,United-States,<=50K
46,Private,5th-6th,6,Divorced,Craft-repair,Not-in-family,White,Female,6839,2918,36,United-States,<=50K
26,Local-gov,Bachelors,7,Never-married,Prof-specialty,Not-in-family,White,Male,6064,3380,47,United-States,<=50K
59,Local-gov,HS-grad,5,Widowed,Farming-fishing,Unmarried,White,Male,5282,2328,43,United-States,<=50K
61,Private,5th-6th,7,Never-married,Handlers-cleaners,Not-in-family,Black,Male,5913,1829,32,United-States,<=50K
60,State-gov,Bachelors,5,Divorced,Prof-specialty,Not-in-family,White,Female,6062,2142,35,United-States,<=50K
49,Self-emp-inc,Some-college,8,Divorced,Exec-managerial,Not-in-family,White,Male,6725,959,48,United-States,<=50K
34,Private,Bachelors,7,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,4437,3150,45,?,<=50K
25,Private,Bachelors,7,Never-married,Prof-specialty,Own-child,White,Female,5419,2233,48,United-States,<=50K
55,Private,Some-college,11,Never-married,Adm-clerical,Not-in-family,Black,Female,5797,1012,30,?,<=50K
59,Local-gov,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,6183,2944,37,United-States,<=50K
28,State-gov,Some-college,5,Separated,Exec-managerial,Own-child,White,Male,4796,1391,47,United-States,<=50K
43,?,Assoc-voc,12,Widowed,?,Not-in-family,White,Female,5287,1376,30,United-States,<=50K
56,Self-emp-not-inc,Masters,9,Divorced,Sales,Unmarried,White,Female,6597,3344,41,United-States,<=50K
41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,4638,1624,45,United-States,<=50K
42,Private,HS-grad,7,Never-married,Adm-clerical,Other-relative,Black,Female,6712,3621,45,Trinadad&Tobago,<=50K
28,Private,Prof-school,8,Never-married,Prof-specialty,Not-in-family,White,Male,5047,2947,33,Canada,<=50K
40,Self-emp-not-inc,Prof-school,9,Divorced,Other-service,Not-in-family,White,Female,4644,1448,47,United-States,<=50K
69,Private,Bachelors,11,Widowed,Prof-specialty,Not-in-family,White,Male,6156,3632,44,United-States,>50K
66,Local-gov,HS-grad,5,Married-civ-spouse,Craft-repair,Husband,White,Male,4965,3538,42,United-States,<=50K
69,Private,5th-6th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5845,3178,35,United-States,<=50K
55,Local-gov,Masters,7,Married-civ-spouse,Prof-specialty,Wife,White,Female,6810,2675,47,United-States,<=50K
57,Federal-gov,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Male,5429,2001,50,United-States,<=50K
20,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,4582,1629,41,United-States,<=50K
33,Private,HS-grad,8,Divorced,Craft-repair,Not-in-family,White,Male,3959,1901,31,United-States,<=50K
30,Self-emp-not-inc,Some-college,6,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,6090,2564,37,South,<=50K
40,Private,Bachelors,10,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,4893,2827,47,Philippines,<=50K
38,Private,Some-college,12,Separated,Machine-op-inspct,Not-in-family,White,Male,6279,2191,33,United-States,>50K
46,State-gov,Assoc-acdm,7,Divorced,Adm-clerical,Unmarried,White,Male,4090,967,44,United-States,>50K
29,Private,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White,Female,5450,3334,31,United-States,>50K
57,Federal-gov,Bachelors,9,Never-married,Adm-clerical,Not-in-family,White,Male,4280,3102,36,United-States,<=50K
39,Private,HS-grad,12,Never-married,Craft-repair,Own-child,White,Male,4442,3689,40,United-States,>50K
47,Private,Bachelors,10,Divorced,Exec-managerial,Not-in-family,White,Male,4259,1397,30,United-States,>50K
26,Private,Bachelors,9,Never-married,Exec-managerial,Not-in-family,White,Male,5379,2982,40,United-States,>50K
27,Self-emp-not-inc,HS-grad,12,Never-married,Craft-repair,Not-in-family,White,Male,4878,1717,47,United-States,<=50K
23,Private,Bachelors,7,Never-married,Prof-specialty,Own-child,White,Female,5886,1968,44,United-States,>50K
34,Private,Masters,5,Never-married,Prof-specialty,Not-in-family,White,Male,4621,2394,40,United-States,<=50K
33,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,4187,1874,42,United-States,<=50K
38,Local-gov,Masters,6,Never-married,Prof-specialty,Not-in-family,White,Female,5147,2806,44,United-States,<=50K
57,Private,Some-college,7,Widowed,Adm-clerical,Unmarried,White,Female,4967,2360,49,United-States,>50K
36,Private,HS-grad,12,Never-married,Exec-managerial,Not-in-family,White,Male,6178,2534,50,United-States,<=50K
44,Federal-gov,Bachelors,8,Divorced,Tech-support,Not-in-family,White,Male,4898,3112,44,United-States,>50K
49,State-gov,Doctorate,11,Never-married,Exec-managerial,Not-in-family,White,Female,4473,2137,41,United-States,>50K
44,Self-emp-inc,Some-college,8,Never-married,Sales,Not-in-family,White,Male,6104,2740,37,United-States,<=50K
55,Private,Some-college,9,Widowed,Farming-fishing,Not-in-family,White,Male,3962,1346,30,United-States,>50K
45,Private,HS-grad,7,Divorced,Farming-fishing,Not-in-family,White,Male,6916,1107,30,United-States,>50K
48,Private,HS-grad,10,Divorced,Exec-managerial,Not-in-family,White,Female,5418,3829,30,United-States,>50K
31,Private,Bachelors,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,6208,985,46,United-States,>50K
55,Local-gov,HS-grad,12,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,4241,1750,32,United-States,>50K
70,Self-emp-not-inc,Some-college,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,6194,2422,30,United-States,>50K
70,Self-emp-not-inc,Masters,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,4232,3297,44,United-States,>50K
73,Private,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,4784,964,44,United-States,>50K
72,Self-emp-not-inc,Prof-school,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,5232,3769,35,United-States,>50K
31,Private,HS-grad,8,Separated,Machine-op-inspct,Unmarried,White,Female,4688,1951,46,United-States,<=50K
28,Private,10th,8,Widowed,Adm-clerical,Unmarried,White,Female,6055,1974,37,United-States,<=50K
23,Self-emp-not-inc,Bachelors,9,Never-married,Adm-clerical,Own-child,White,Male,4195,3771,43,United-States,>50K
49,Local-gov,9th,9,Widowed,Handlers-cleaners,Unmarried,White,Male,6225,1853,44,United-States,>50K
27,Local-gov,Some-college,5,Never-married,Protective-serv,Not-in-family,White,Male,6552,3123,38,United-States,>50K
68,Private,HS-grad,11,Never-married,Other-service,Not-in-family,Black,Male,4152,3418,44,United-States,<=50K
68,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,5685,2760,30,United-States,<=50K
65,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,4426,2463,35,Canada,<=50K
65,?,HS-grad,7,Widowed,?,Unmarried,White,Female,4565,1502,37,United-States,<=50K
67,Private,Bachelors,7,Divorced,Exec-managerial,Not-in-family,White,Female,4438,2412,36,United-States,<=50K
66,Local-gov,Bachelors,12,Widowed,Prof-specialty,Not-in-family,Black,Female,6220,2437,48,United-States,<=50K
24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,6188,2745,31,United-States,<=50K
44,Self-emp-not-inc,Some-college,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,6269,3480,45,United-States,<=50K
35,Private,Some-college,5,Never-married,Adm-clerical,Own-child,White,Female,6159,3575,42,United-States,<=50K
20,Private,Assoc-acdm,9,Never-married,Other-service,Own-child,White,Female,5645,1713,50,United-States,<=50K
38,Private,HS-grad,7,Divorced,Craft-repair,Not-in-family,White,Male,4887,2443,46,United-States,<=50K
39,Private,Some-college,7,Never-married,Other-service,Own-child,Black,Female,4404,3332,47,United-States,<=50K
32,Private,Some-college,12,Never-married,Machine-op-inspct,Other-relative,White,Female,6265,2428,48,Holand-Netherlands,<=50K
42,Private,7th-8th,11,Never-married,Handlers-cleaners,Not-in-family,Black,Male,4535,1965,45,United-States,<=50K
63,?,HS-grad,9,Divorced,?,Not-in-family,White,Female,5663,3798,34,United-States,<=50K
42,Self-emp-inc,Masters,11,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,4982,2519,38,India,>50K
64,Private,11th,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5377,2414,42,United-States,<=50K
28,Private,7th-8th,5,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,6174,1797,39,Puerto-Rico,<=50K
41,Self-emp-inc,Assoc-voc,10,Married-civ-spouse,Sales,Husband,Other,Male,4502,1306,38,Mexico,<=50K
41,Self-emp-not-inc,7th-8th,11,Married-civ-spouse,Craft-repair,Husband,White,Male,6890,1065,40,United-States,<=50K
58,Self-emp-not-inc,1st-4th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,5601,2356,38,United-States,<=50K
59,State-gov,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5244,2584,39,United-States,<=50K
34,Self-emp-not-inc,HS-grad,12,Married-civ-spouse,Farming-fishing,Wife,White,Female,5271,3447,46,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3962,3691,31,United-States,<=50K
29,Private,HS-grad,5,Married-civ-spouse,Adm-clerical,Wife,White,Female,4248,2062,31,United-States,<=50K
47,Private,10th,9,Married-civ-spouse,Sales,Husband,White,Male,6737,3720,34,United-States,<=50K
40,Private,Some-college,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4269,2555,39,United-States,<=50K
47,Self-emp-not-inc,5th-6th,6,Married-civ-spouse,Sales,Husband,White,Male,4230,988,41,Mexico,<=50K
63,?,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,4027,2527,31,United-States,<=50K
41,Self-emp-not-inc,HS-grad,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4349,2887,49,United-States,<=50K
34,Private,Some-college,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,3978,2399,50,United-States,<=50K
66,?,Bachelors,12,Married-civ-spouse,?,Husband,White,Male,6932,2275,49,United-States,>50K
65,Self-emp-not-inc,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,4657,1542,36,United-States,>50K
70,Private,HS-grad,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4324,3791,41,United-States,>50K
68,Self-emp-not-inc,Prof-school,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,5750,1005,30,United-States,>50K
65,State-gov,HS-grad,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,5001,1290,33,United-States,>50K
65,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,4662,3143,30,United-States,>50K
73,Private,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,4156,1406,42,United-States,>50K
60,?,Bachelors,9,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,5079,2695,40,South,<=50K
68,Self-emp-not-inc,Assoc-voc,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4004,2763,42,United-States,<=50K
68,Self-emp-not-inc,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,4087,1729,39,United-States,<=50K
43,Private,5th-6th,7,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,6690,2270,41,?,<=50K
19,Self-emp-not-inc,11th,12,Married-civ-spouse,Craft-repair,Own-child,White,Male,4658,3825,31,United-States,<=50K
37,Self-emp-not-inc,HS-grad,6,Married-civ-spouse,Craft-repair,Husband,White,Male,6497,2254,44,United-States,<=50K
45,Federal-gov,Assoc-acdm,5,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,5335,1538,32,Philippines,<=50K
